axis_ratio,removal,seed,eigengap,axis_drift_degrees
1.0,0.01,0,0.001354291518672026,58.072803079891145
1.0,0.1,0,0.016735808438669685,74.30209590704538
1.0,0.5,0,0.056197990495124965,15.420162092014305
1.0,0.9,0,0.050458789123839026,67.91004123856843
1.0,0.01,1,0.0051898705553482345,73.97501178111027
1.0,0.1,1,0.00539754323211502,5.238105576681562
1.0,0.5,1,0.02819095272725154,87.75249545412568
1.0,0.9,1,0.16726196891824419,8.000014970948907
1.0,0.01,2,0.0014515469331300949,29.101679501702616
1.0,0.1,2,0.01622345186155757,2.252480497783229
1.0,0.5,2,0.020040349003760154,30.415923064598296
1.0,0.9,2,0.1381103001837663,74.23785920918189
1.0,0.01,3,0.007769155509424489,89.53048724329929
1.0,0.1,3,0.004712568923031103,46.405412129740604
1.0,0.5,3,0.03735441790239697,69.4992737826312
1.0,0.9,3,0.014917989914002673,84.47066245762869
1.0,0.01,4,0.0077868452887195905,50.867225100606625
1.0,0.1,4,0.010207587582071832,36.373485158098454
1.0,0.5,4,0.01334661506152278,85.6388404234134
1.0,0.9,4,0.10451933204347942,33.24116675358767
1.0,0.01,5,0.003062336495684687,7.5346511893909955
1.0,0.1,5,0.006040974746669604,25.342674925620763
1.0,0.5,5,0.056174259772607066,54.07629733528462
1.0,0.9,5,0.05268892352812903,68.71871607766012
1.0,0.01,6,0.005420665734468204,16.290723313595905
1.0,0.1,6,0.011040499225503254,50.44620319360406
1.0,0.5,6,0.00811611055714245,84.16543995660253
1.0,0.9,6,0.1485311354730719,60.08924414442607
1.0,0.01,7,0.005135975251671801,24.516791871884465
1.0,0.1,7,0.019586381013754525,13.599757641892062
1.0,0.5,7,0.0404016509262145,65.67029427995959
1.0,0.9,7,0.0483308415085571,26.18235710189302
1.0,0.01,8,0.0037736876010133875,36.66379435472009
1.0,0.1,8,0.0014935193715897178,6.284629065831277
1.0,0.5,8,0.04784636914590603,88.81547993764558
1.0,0.9,8,0.11042090404579628,2.8409725926111675
1.0,0.01,9,0.003657407373718592,84.11946033748754
1.0,0.1,9,0.023105798646785115,45.372154648552254
1.0,0.5,9,0.061649782958882286,44.35892212850082
1.0,0.9,9,0.12354566037162563,72.58207179920389
1.0,0.01,10,0.002630865130634361,52.056468943319246
1.0,0.1,10,0.010864015434338145,27.426269051572564
1.0,0.5,10,0.052316027034470525,2.053886424605177
1.0,0.9,10,0.08365389740643178,65.53716189948257
1.0,0.01,11,0.0036762726304099586,80.32162260277627
1.0,0.1,11,0.0035390258299705193,32.23118151234198
1.0,0.5,11,0.03238558347844927,47.89130241504841
1.0,0.9,11,0.19529392134517284,0.18784595541901217
1.0,0.01,12,0.004786214433073345,2.4302273192268116
1.0,0.1,12,0.008224750181023449,20.42445809519411
1.0,0.5,12,0.029258062798964313,82.77294631046405
1.0,0.9,12,0.1069006374516662,44.96287138011763
1.0,0.01,13,0.005760068460311602,62.61200829312892
1.0,0.1,13,0.005524541166926636,79.92242558722275
1.0,0.5,13,0.02640701901314706,0.6940902274894325
1.0,0.9,13,0.027432273375366356,30.658623664260233
1.0,0.01,14,0.0035282387296865737,61.088040754853616
1.0,0.1,14,0.011114088125447627,27.207144025752083
1.0,0.5,14,0.051818383168345035,55.57146025807987
1.0,0.9,14,0.09629856936675343,21.244956932521376
1.0,0.01,15,0.005321508374929007,66.69915218211766
1.0,0.1,15,0.0066285542516516865,36.95970839582541
1.0,0.5,15,0.045721514325476234,88.69806362050159
1.0,0.9,15,0.22300830158753648,20.50508324717149
1.0,0.01,16,0.004585528585101007,49.45937391086699
1.0,0.1,16,0.016890742850877147,61.89018249317481
1.0,0.5,16,0.07208864721334139,23.351417228901482
1.0,0.9,16,0.16934151922510804,24.48888926058771
1.0,0.01,17,0.005422508726007895,40.4625638270752
1.0,0.1,17,0.008668004826278669,55.40878280217893
1.0,0.5,17,0.031426988237596216,81.58019715019626
1.0,0.9,17,0.060407919110348214,21.116499307178064
1.0,0.01,18,0.006679548584739705,20.75738175190363
1.0,0.1,18,0.012356977093435598,56.30594967015525
1.0,0.5,18,0.019475881034237922,1.4756311096962655
1.0,0.9,18,0.24770868990412376,39.37484380590063
1.0,0.01,19,0.0041006532312404765,9.166264577832207
1.0,0.1,19,0.023421936099203296,54.43323302960355
1.0,0.5,19,0.026726373383470784,67.35416744307679
1.0,0.9,19,0.021566901657254518,20.615150903372918
1.0,0.01,20,0.0013871881038937943,89.78108716701378
1.0,0.1,20,0.008811473787997693,62.991938936205145
1.0,0.5,20,0.09114584157517326,38.416725449038076
1.0,0.9,20,0.06646956450120216,12.531682969451806
1.0,0.01,21,0.006077856950675049,53.975940308915234
1.0,0.1,21,0.010065949961542477,31.47255568077166
1.0,0.5,21,0.030746209197121666,8.690382110837085
1.0,0.9,21,0.1627197622228923,75.53850613755259
1.0,0.01,22,0.003611896149476748,26.722343830459454
1.0,0.1,22,0.008545721375594888,80.95853701491484
1.0,0.5,22,0.05682634524040338,31.592501852904633
1.0,0.9,22,0.14105890996891532,35.96814745690095
1.0,0.01,23,0.002559158458462878,5.143757990036005
1.0,0.1,23,0.006587407180924149,16.611335986679656
1.0,0.5,23,0.029853095653962908,37.312547277644384
1.0,0.9,23,0.06414780815341066,4.803197278502184
1.0,0.01,24,0.008360422098417242,50.176864291869705
1.0,0.1,24,0.001912976659308343,39.22946281662783
1.0,0.5,24,0.04015840825635705,20.33657802497561
