dataset,series,attack,seed,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,attack_seeds
Building,main,scale_1.7,0,0.9952279769488644,0.994140625,0.005859375,40908,0,15,34.0,39.94921875,959,[]
Building,main,scale_2.1,0,0.9960238411119946,0.9951171875,0.0048828125,40759,0,15,34.0,39.8037109375,951,[]
Building,main,translation_20,0,0.9952317823890992,0.994140625,0.005859375,39657,0,15,34.5,38.7275390625,397,[]
Building,main,translation_30,0,0.9952317823890992,0.994140625,0.005859375,39658,0,15,34.0,38.728515625,439,[]
Building,main,translation_40,0,0.9936356121857464,0.9921875,0.0078125,39153,0,15,35.0,38.2353515625,249,[]
Building,main,translation_50,0,0.9944302029662154,0.9931640625,0.0068359375,39153,0,15,35.0,38.2353515625,237,[]
Building,main,translation_60,0,0.9944302029662154,0.9931640625,0.0068359375,39140,0,15,34.0,38.22265625,255,[]
Building,repeat,vertex_delete_30pct,1,0.9688898203677916,0.9619140625,0.0380859375,32057,0,10,28.0,31.3056640625,233,[1]
Building,repeat,vertex_delete_50pct,1,0.929309268519847,0.9130859375,0.0869140625,26410,0,7,23.0,25.791015625,229,[1]
Building,repeat,object_delete_30pct,1,0.9864620122373194,0.9833984375,0.0166015625,28720,0,5,26.0,28.046875,172,[1]
Building,repeat,object_delete_90pct,1,0.9315300990219229,0.9169921875,0.0830078125,4218,28,0,4.0,4.119140625,32,[1]
Building,repeat,vertex_add_50pct,1,0.9350076238610472,0.9208984375,0.0791015625,59651,0,29,56.0,58.2529296875,255,[1]
Building,repeat,noise_50pct_1p4tau,1,0.8734378139486305,0.845703125,0.154296875,42887,0,22,41.0,41.8818359375,89,[1]
Building,repeat,compound,1,0.8943395664891985,0.869140625,0.130859375,24700,0,5,22.0,24.12109375,457,"[1, 10001, 20001, 30001]"
Building,repeat,vertex_delete_30pct,2,0.972047537627567,0.9658203125,0.0341796875,32046,0,10,28.0,31.294921875,233,[2]
Building,repeat,vertex_delete_50pct,2,0.9167090450983792,0.8984375,0.1015625,26431,0,7,23.0,25.8115234375,227,[2]
Building,repeat,object_delete_30pct,2,0.9840623009386203,0.98046875,0.01953125,28657,0,10,26.0,27.9853515625,170,[2]
Building,repeat,object_delete_90pct,2,0.9138860590564498,0.89453125,0.10546875,4291,34,0,4.0,4.1904296875,24,[2]
Building,repeat,vertex_add_50pct,2,0.9421279329352288,0.9296875,0.0703125,59620,0,32,56.0,58.22265625,255,[2]
Building,repeat,noise_50pct_1p4tau,2,0.8595086200675517,0.8310546875,0.1689453125,42883,0,21,41.5,41.8779296875,95,[2]
Building,repeat,compound,2,0.8882568508297078,0.8642578125,0.1357421875,24636,0,9,22.0,24.05859375,473,"[2, 10002, 20002, 30002]"
Building,repeat,vertex_delete_30pct,3,0.9728633113176992,0.966796875,0.033203125,32139,0,7,28.0,31.3857421875,230,[3]
Building,repeat,vertex_delete_50pct,3,0.9140173740298372,0.89453125,0.10546875,26468,0,7,22.5,25.84765625,223,[3]
Building,repeat,object_delete_30pct,3,0.985643124931068,0.982421875,0.017578125,28109,0,8,25.0,27.4501953125,170,[3]
Building,repeat,object_delete_90pct,3,0.9240300854759608,0.908203125,0.091796875,4214,38,0,4.0,4.115234375,37,[3]
Building,repeat,vertex_add_50pct,3,0.9370698761844968,0.923828125,0.076171875,59663,0,32,56.0,58.2646484375,249,[3]
Building,repeat,noise_50pct_1p4tau,3,0.8616041779834998,0.83203125,0.16796875,42841,0,18,41.0,41.8369140625,84,[3]
Building,repeat,compound,3,0.8906508807384951,0.865234375,0.134765625,25502,0,9,23.0,24.904296875,452,"[3, 10003, 20003, 30003]"
Building,repeat,vertex_delete_30pct,4,0.9688125932601998,0.9619140625,0.0380859375,32062,0,10,28.0,31.310546875,226,[4]
Building,repeat,vertex_delete_50pct,4,0.915848619589997,0.8955078125,0.1044921875,26406,0,9,23.0,25.787109375,216,[4]
Building,repeat,object_delete_30pct,4,0.98325556729252,0.9794921875,0.0205078125,28725,0,10,25.0,28.0517578125,159,[4]
Building,repeat,object_delete_90pct,4,0.9341608709179874,0.919921875,0.080078125,4168,38,0,4.0,4.0703125,28,[4]
Building,repeat,vertex_add_50pct,4,0.939495210239728,0.92578125,0.07421875,59591,0,34,56.0,58.1943359375,256,[4]
Building,repeat,noise_50pct_1p4tau,4,0.8653063830646318,0.8388671875,0.1611328125,42896,0,21,41.0,41.890625,97,[4]
Building,repeat,compound,4,0.8906763093331593,0.8662109375,0.1337890625,24910,0,7,22.0,24.326171875,514,"[4, 10004, 20004, 30004]"
Building,repeat,vertex_delete_30pct,5,0.9673383544879692,0.9599609375,0.0400390625,31940,0,11,28.0,31.19140625,229,[5]
Building,repeat,vertex_delete_50pct,5,0.908695854144722,0.888671875,0.111328125,26249,0,7,23.0,25.6337890625,225,[5]
Building,repeat,object_delete_30pct,5,0.9848517613952676,0.9814453125,0.0185546875,28474,0,8,25.0,27.806640625,156,[5]
Building,repeat,object_delete_90pct,5,0.9216294926156532,0.904296875,0.095703125,4111,34,0,4.0,4.0146484375,26,[5]
Building,repeat,vertex_add_50pct,5,0.932984699039736,0.9189453125,0.0810546875,59716,0,20,56.0,58.31640625,245,[5]
Building,repeat,noise_50pct_1p4tau,5,0.8901319025830643,0.865234375,0.134765625,42903,0,25,41.0,41.8974609375,97,[5]
Building,repeat,compound,5,0.8903031919135712,0.865234375,0.134765625,24706,0,8,22.0,24.126953125,513,"[5, 10005, 20005, 30005]"
Building,repeat,vertex_delete_30pct,6,0.9641510781964108,0.9560546875,0.0439453125,32033,0,10,28.0,31.2822265625,232,[6]
Building,repeat,vertex_delete_50pct,6,0.9144227013987752,0.89453125,0.10546875,26369,0,7,23.0,25.7509765625,226,[6]
Building,repeat,object_delete_30pct,6,0.9840623009386203,0.98046875,0.01953125,29021,0,8,26.0,28.3408203125,173,[6]
Building,repeat,object_delete_90pct,6,0.9168925386937968,0.8994140625,0.1005859375,3804,57,0,3.0,3.71484375,17,[6]
Building,repeat,vertex_add_50pct,6,0.9370592297181646,0.9228515625,0.0771484375,59695,0,30,56.0,58.2958984375,253,[6]
Building,repeat,noise_50pct_1p4tau,6,0.8687308848016746,0.841796875,0.158203125,42887,0,24,41.0,41.8818359375,96,[6]
Building,repeat,compound,6,0.8929894762341444,0.869140625,0.130859375,24893,0,8,22.0,24.3095703125,496,"[6, 10006, 20006, 30006]"
Building,repeat,vertex_delete_30pct,7,0.9704139363895554,0.9638671875,0.0361328125,32073,0,11,28.0,31.3212890625,227,[7]
Building,repeat,vertex_delete_50pct,7,0.9189200802250788,0.900390625,0.099609375,26435,0,7,23.0,25.8154296875,226,[7]
Building,repeat,object_delete_30pct,7,0.9824314383090468,0.978515625,0.021484375,28577,0,9,26.0,27.9072265625,158,[7]
Building,repeat,object_delete_90pct,7,0.9135609533994888,0.8935546875,0.1064453125,4052,40,0,3.0,3.95703125,33,[7]
Building,repeat,vertex_add_50pct,7,0.9322145918519346,0.91796875,0.08203125,59602,0,34,56.0,58.205078125,253,[7]
Building,repeat,noise_50pct_1p4tau,7,0.8664380901416427,0.8408203125,0.1591796875,42902,0,22,41.0,41.896484375,83,[7]
Building,repeat,compound,7,0.8885807652012634,0.8642578125,0.1357421875,25057,0,8,22.0,24.4697265625,475,"[7, 10007, 20007, 30007]"
Building,repeat,vertex_delete_30pct,8,0.9736166226482668,0.9677734375,0.0322265625,32085,0,11,28.0,31.3330078125,236,[8]
Building,repeat,vertex_delete_50pct,8,0.9148792961248008,0.8955078125,0.1044921875,26475,0,8,23.0,25.8544921875,234,[8]
Building,repeat,object_delete_30pct,8,0.984045648229397,0.98046875,0.01953125,29554,0,11,26.0,28.861328125,171,[8]
Building,repeat,object_delete_90pct,8,0.9028306017751982,0.8828125,0.1171875,3840,54,0,3.0,3.75,28,[8]
Building,repeat,vertex_add_50pct,8,0.9355273732849368,0.921875,0.078125,59542,0,30,56.0,58.146484375,246,[8]
Building,repeat,noise_50pct_1p4tau,8,0.8795029506139261,0.8525390625,0.1474609375,42893,0,20,41.0,41.8876953125,93,[8]
