Tan_2024,Wu_2025,Zhang_2025,Lin_2018,Xi_2022,Proposed
0.99,1.0,0.66,0.55,0.71,0.9945647233761633
0.99,0.99,0.63,0.52,0.62,0.9648369461096801
0.99,0.9,0.58,0.51,0.67,0.8545708573628055
0.99,1.0,0.66,0.55,0.71,0.9954977907613772
0.99,0.99,0.63,0.51,0.7,0.9637342123781988
0.99,0.9,0.58,0.51,0.53,0.8526768965874231
0.99,1.0,0.66,0.55,0.76,0.9937640043097576
0.99,0.99,0.63,0.52,0.57,0.9628486667039032
0.99,0.89,0.59,0.51,0.55,0.851297348309688
