Tan_2024,Wu_2025,Zhang_2025,Lin_2018,Xi_2022,Proposed
0.92,1.0,1.0,0.56,0.78,0.9969488500740006
0.91,0.99,1.0,0.53,0.7,0.9974819725643203
0.92,0.97,1.0,0.53,0.56,0.996419763043809
0.92,0.99,0.6,0.56,0.78,0.9954877230238824
0.93,0.99,0.56,0.52,0.7,0.9819104606381988
0.92,0.97,0.54,0.53,0.55,0.9374078441944351
0.92,0.99,0.62,0.57,0.78,0.9946959553830891
0.93,0.99,0.55,0.53,0.7,0.9808614159360801
0.92,0.96,0.55,0.48,0.58,0.9382059004214228
