dataset,kind,seed,nc,bit_accuracy
Lake,wrong_watermark,3,0.5504271095885476,0.5068359375
Lake,wrong_watermark,4,0.569185385880174,0.517578125
Lake,wrong_watermark,5,0.5472168584244865,0.490234375
Lake,wrong_watermark,6,0.5669705704052262,0.5078125
Lake,wrong_watermark,7,0.5506902997528771,0.4990234375
Lake,wrong_watermark,8,0.5666188998827841,0.5107421875
Lake,wrong_watermark,9,0.5633282321195529,0.5107421875
Lake,wrong_watermark,10,0.556525890161541,0.5009765625
Lake,wrong_watermark,11,0.5439031206671544,0.4892578125
Lake,wrong_watermark,12,0.5746591872168177,0.5146484375
Lake,wrong_watermark,13,0.5628541841314731,0.515625
Lake,wrong_watermark,14,0.563022797004437,0.498046875
Lake,wrong_watermark,15,0.569674308059476,0.5126953125
Lake,wrong_watermark,16,0.5473818384670106,0.4892578125
Lake,wrong_watermark,17,0.5461594335554,0.48828125
Lake,wrong_watermark,18,0.5421372014442091,0.4873046875
Lake,wrong_watermark,19,0.5083190239675872,0.451171875
Lake,wrong_watermark,20,0.5592215684620545,0.5009765625
