dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Building,legacy,rotation_45,0,0.9912429266746571,0.9892578125,0.0107421875,0.12260033399797976,42706,0,15,39.0,41.705078125,266,3,pca_++,0.5932081428242001,43465
Building,legacy,rotation_90,0,0.9864620122373194,0.9833984375,0.0166015625,0.1215680839959532,41133,0,15,37.0,40.1689453125,231,0,pca_++,0.5932081428242004,43465
Building,legacy,rotation_135,0,0.9888585178963917,0.986328125,0.013671875,0.12237212498439476,42706,0,15,39.0,41.705078125,269,2,pca_++,0.5932081428242001,43465
Building,legacy,rotation_180,0,0.9968216095175163,0.99609375,0.00390625,0.12332020897883922,38387,0,15,34.0,37.4873046875,287,0,embed_pca_key,0.5932081428242004,43465
Building,legacy,rotation_225,0,0.9888585178963917,0.986328125,0.013671875,0.12660183297703043,42620,0,15,38.5,41.62109375,231,1,pca_++,0.5932081428241999,43465
Building,legacy,rotation_270,0,0.9872521301150827,0.984375,0.015625,0.1251296250266023,41133,0,15,37.0,40.1689453125,213,1,pca_++,0.5932081428242005,43465
Building,legacy,rotation_315,0,0.9880556503830986,0.9853515625,0.0146484375,0.12443600001279265,42784,0,15,39.0,41.78125,224,1,pca_++,0.5932081428242016,43465
Building,legacy,reverse_vertices,0,0.9856737883701553,0.982421875,0.017578125,0.12481708300765604,41133,0,15,37.0,40.1689453125,240,0,embed_pca_key,0.593208142824199,43465
Building,legacy,reverse_objects,0,0.9864479554980152,0.9833984375,0.0166015625,0.13538887503091246,41133,0,15,37.0,40.1689453125,235,0,embed_pca_key,0.5932081428242004,43465
Building,legacy,compound,0,0.8986572798468974,0.8759765625,0.1240234375,0.08932975004427135,25356,0,9,23.0,24.76171875,479,46,embed_pca_key,0.034970108174608695,28069
Landuse,legacy,no_attack,0,0.9992060340153568,0.9990234375,0.0009765625,0.10333200002787635,42692,0,21,40.0,41.69140625,340,0,embed_pca_key,0.7793776250035502,43939
Landuse,legacy,vertex_delete_30pct,0,0.9912933744490251,0.9892578125,0.0107421875,0.0971457920386456,31576,0,11,30.0,30.8359375,200,5,embed_pca_key,0.7792653828773238,32823
Landuse,legacy,vertex_delete_50pct,0,0.9374588563774604,0.923828125,0.076171875,0.07844895799644291,24198,0,8,23.0,23.630859375,109,25,embed_pca_key,0.7793057464720254,25445
Landuse,legacy,object_delete_30pct,0,0.9984126984126984,0.998046875,0.001953125,0.08484162500826642,31528,0,14,30.0,30.7890625,260,1,embed_pca_key,0.7795210937612396,32419
Landuse,legacy,object_delete_90pct,0,0.9217025570731429,0.90234375,0.09765625,0.013909582979977131,4584,4,0,4.0,4.4765625,41,81,embed_pca_key,0.7756183440742216,4714
Landuse,legacy,vertex_add_10pct,0,0.9992060340153568,0.9990234375,0.0009765625,0.11712524999165908,46743,0,24,45.0,45.6474609375,312,0,embed_pca_key,0.7791677741312845,47990
Landuse,legacy,vertex_add_30pct,0,0.9952380952380953,0.994140625,0.005859375,0.13269570900592953,54971,0,33,53.0,53.6826171875,265,4,embed_pca_key,0.778979065656108,56218
Landuse,legacy,vertex_add_50pct,0,0.9523064499218378,0.94140625,0.05859375,0.12774750002427027,63035,0,32,61.0,61.5576171875,225,16,embed_pca_key,0.7792970080213242,64282
Landuse,legacy,noise_10pct_0p6tau,0,0.9976212494588167,0.9970703125,0.0029296875,0.10162520798621699,42941,0,21,41.0,41.9345703125,293,2,embed_pca_key,0.4109892106770824,44625
