dataset,mode,features,vertices,embed_seconds,fitness,iterations,mean_displacement_m,max_displacement_m,p95_displacement_m,mean_displacement_degrees,unclosed_rings
Railways,legacy,5621,52474,4.425409417017363,0.9496877690391464,5.697740615548835,3.257873481867535e-07,0.00019236885279232658,1.054408216235421e-06,3.29735627313795e-12,0
Building,legacy,6385,43465,4.71879362501204,0.946465553123578,5.740328895849648,2.6052725107860157e-08,6.893991210448156e-06,1.1430048453039093e-07,2.728376785063733e-13,5949
Landuse,legacy,3464,43939,4.303789375000633,0.9049768071952716,9.475750577367206,1.377623840221188e-07,2.3690409676018236e-05,6.04119586212998e-07,1.4423992376630232e-12,3402
Boundary,legacy,482,123933,6.65107566700317,0.6988290304044649,16.18918918918919,4.706435813907076e-07,0.0016995676353937488,1.3469113966135663e-06,4.875013560735662e-12,0
Road,legacy,919,69362,3.791478166007437,0.793897763498605,13.826473859844272,3.8098460149979007e-07,0.0005340955625455373,1.02049452369282e-06,3.986539086914595e-12,0
Lake,legacy,1470,65928,4.684243916010018,0.8093163269305509,14.954421768707483,1.6167824473336482e-07,7.003307420298555e-05,6.25821438947818e-07,1.5815415048921741e-12,1501
