dataset,series,attack,seed,attack_seeds,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max
Landuse,repeat,object_delete_90pct,2,[2],0.9496648640637744,0.9384765625,0.0615234375,4412,20,0,4.0,4.30859375,34
Landuse,repeat,vertex_add_50pct,2,[2],0.9633284112916155,0.955078125,0.044921875,62903,0,35,61.0,61.4287109375,218
Landuse,repeat,noise_50pct_1p4tau,2,[2],0.9022853013817963,0.880859375,0.119140625,43680,0,22,43.0,42.65625,128
Landuse,repeat,compound,2,"[2, 10002, 20002, 30002]",0.9095628974740387,0.8896484375,0.1103515625,24590,0,10,23.0,24.013671875,305
Landuse,repeat,vertex_delete_30pct,3,[3],0.9944340175269573,0.9931640625,0.0068359375,31663,0,12,30.0,30.9208984375,197
Landuse,repeat,vertex_delete_50pct,3,[3],0.9640537256404982,0.9560546875,0.0439453125,24449,0,9,23.0,23.8759765625,113
Landuse,repeat,object_delete_30pct,3,[3],0.9992060340153568,0.9990234375,0.0009765625,29141,0,11,28.0,28.4580078125,228
Landuse,repeat,object_delete_90pct,3,[3],0.9475165547411569,0.9345703125,0.0654296875,4086,18,0,4.0,3.990234375,34
Landuse,repeat,vertex_add_50pct,3,[3],0.9675403383200548,0.9599609375,0.0400390625,62912,0,37,61.0,61.4375,213
Landuse,repeat,noise_50pct_1p4tau,3,[3],0.9018660554593643,0.880859375,0.119140625,43671,0,24,42.5,42.6474609375,132
Landuse,repeat,compound,3,"[3, 10003, 20003, 30003]",0.9263248742427678,0.91015625,0.08984375,25430,0,12,23.0,24.833984375,317
Landuse,repeat,vertex_delete_30pct,4,[4],0.9912770761713202,0.9892578125,0.0107421875,31562,0,11,30.0,30.822265625,200
Landuse,repeat,vertex_delete_50pct,4,[4],0.9517860909388396,0.9404296875,0.0595703125,24421,0,6,23.0,23.8486328125,131
Landuse,repeat,object_delete_30pct,4,[4],0.9992060340153568,0.9990234375,0.0009765625,30467,0,12,29.0,29.7529296875,244
Landuse,repeat,object_delete_90pct,4,[4],0.947877943928333,0.935546875,0.064453125,4551,13,0,4.0,4.4443359375,33
Landuse,repeat,vertex_add_50pct,4,[4],0.9688500128327395,0.9619140625,0.0380859375,62820,0,35,60.0,61.34765625,220
Landuse,repeat,noise_50pct_1p4tau,4,[4],0.8993793830408288,0.876953125,0.123046875,43676,0,25,42.0,42.65234375,119
Landuse,repeat,compound,4,"[4, 10004, 20004, 30004]",0.9159682699914616,0.8974609375,0.1025390625,24067,0,10,23.0,23.5029296875,286
Landuse,repeat,vertex_delete_30pct,5,[5],0.9952380952380953,0.994140625,0.005859375,31605,0,8,30.0,30.8642578125,200
Landuse,repeat,vertex_delete_50pct,5,[5],0.9557769267944025,0.9453125,0.0546875,24282,0,6,23.0,23.712890625,118
Landuse,repeat,object_delete_30pct,5,[5],0.9992060340153568,0.9990234375,0.0009765625,29140,0,12,28.0,28.45703125,239
Landuse,repeat,object_delete_90pct,5,[5],0.9395878328945011,0.92578125,0.07421875,4129,19,0,4.0,4.0322265625,35
Landuse,repeat,vertex_add_50pct,5,[5],0.9760312334992159,0.970703125,0.029296875,62968,0,37,61.0,61.4921875,206
