Tan_2024,Wu_2025,Zhang_2025,Lin_2018,Xi_2022,Proposed
0.99,1.0,0.66,0.55,0.71,0.9961552917839088
0.99,0.99,0.63,0.52,0.62,0.973674322918945
0.99,0.9,0.58,0.51,0.67,0.8735315073189588
0.99,1.0,0.66,0.55,0.71,0.9964219819840404
0.99,0.99,0.63,0.51,0.7,0.972816694712312
0.99,0.9,0.58,0.51,0.53,0.8690736789047234
0.99,1.0,0.66,0.55,0.76,0.996153412907162
0.99,0.99,0.63,0.52,0.57,0.9731680404457865
0.99,0.89,0.59,0.51,0.55,0.8719062536920094
