dataset,series,attack,seed,attack_seeds,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max
Road,repeat,noise_50pct_1p4tau,5,[5],0.8311245118358392,0.7978515625,0.2021484375,69355,0,44,67.0,67.7294921875,95
Road,repeat,compound,5,"[5, 10005, 20005, 30005]",0.8355612640754253,0.8017578125,0.1982421875,35387,0,19,34.0,34.5576171875,53
Road,repeat,vertex_delete_30pct,6,[6],0.9753065452168651,0.9697265625,0.0302734375,49089,0,27,48.0,47.9384765625,71
Road,repeat,vertex_delete_50pct,6,[6],0.9252793887387473,0.908203125,0.091796875,35588,0,18,35.0,34.75390625,63
Road,repeat,object_delete_30pct,6,[6],0.9976212494588167,0.9970703125,0.0029296875,52760,0,21,52.0,51.5234375,73
Road,repeat,object_delete_90pct,6,[6],0.8782041565882807,0.8466796875,0.1533203125,8517,0,1,8.0,8.3173828125,21
Road,repeat,vertex_add_50pct,6,[6],0.9263248742427678,0.91015625,0.08984375,103446,0,66,101.0,101.021484375,141
Road,repeat,noise_50pct_1p4tau,6,[6],0.8292718353002299,0.794921875,0.205078125,69355,0,45,68.0,67.7294921875,100
Road,repeat,compound,6,"[6, 10006, 20006, 30006]",0.8341684639770788,0.8017578125,0.1982421875,38628,0,22,37.0,37.72265625,57
Road,repeat,vertex_delete_30pct,7,[7],0.9842467186759434,0.98046875,0.01953125,48997,0,28,48.0,47.8486328125,69
Road,repeat,vertex_delete_50pct,7,[7],0.9184293902107377,0.900390625,0.099609375,35527,0,16,35.0,34.6943359375,56
Road,repeat,object_delete_30pct,7,[7],0.9960352061369425,0.9951171875,0.0048828125,50057,0,24,49.0,48.8837890625,73
Road,repeat,object_delete_90pct,7,[7],0.8807642291430686,0.853515625,0.146484375,5491,7,0,5.0,5.3623046875,15
Road,repeat,vertex_add_50pct,7,[7],0.9380952380952381,0.923828125,0.076171875,103447,0,67,101.0,101.0224609375,131
Road,repeat,noise_50pct_1p4tau,7,[7],0.8285826026750163,0.796875,0.203125,69348,0,42,67.0,67.72265625,95
Road,repeat,compound,7,"[7, 10007, 20007, 30007]",0.8485973311661179,0.8125,0.1875,35747,0,17,35.0,34.9091796875,56
Road,repeat,vertex_delete_30pct,8,[8],0.9848683740915403,0.9814453125,0.0185546875,49237,0,29,48.0,48.0830078125,68
Road,repeat,vertex_delete_50pct,8,[8],0.9195292101145934,0.9013671875,0.0986328125,35751,0,20,35.0,34.9130859375,58
Road,repeat,object_delete_30pct,8,[8],0.9992060340153568,0.9990234375,0.0009765625,49064,0,26,48.0,47.9140625,74
Road,repeat,object_delete_90pct,8,[8],0.846947133880776,0.8115234375,0.1884765625,4641,9,0,4.0,4.5322265625,14
Road,repeat,vertex_add_50pct,8,[8],0.9208855950759561,0.904296875,0.095703125,103477,0,73,101.0,101.0517578125,131
Road,repeat,noise_50pct_1p4tau,8,[8],0.8341684639770788,0.8017578125,0.1982421875,69354,0,45,68.0,67.728515625,99
Road,repeat,compound,8,"[8, 10008, 20008, 30008]",0.8573643124771667,0.828125,0.171875,36900,0,20,36.0,36.03515625,55
Road,repeat,vertex_delete_30pct,9,[9],0.981792159997437,0.9775390625,0.0224609375,48950,0,24,47.0,47.802734375,71
Road,repeat,vertex_delete_50pct,9,[9],0.9024678238060456,0.8828125,0.1171875,35430,0,18,35.0,34.599609375,60
Road,repeat,object_delete_30pct,9,[9],0.9968216095175163,0.99609375,0.00390625,52755,0,29,51.0,51.5185546875,73
Road,repeat,object_delete_90pct,9,[9],0.8723238270307618,0.8427734375,0.1572265625,6842,0,1,7.0,6.681640625,17
Road,repeat,vertex_add_50pct,9,[9],0.9432698144741193,0.9306640625,0.0693359375,103618,0,71,101.0,101.189453125,134
Road,repeat,noise_50pct_1p4tau,9,[9],0.8203640071621281,0.78515625,0.21484375,69346,0,40,68.0,67.720703125,104
Road,repeat,compound,9,"[9, 10009, 20009, 30009]",0.8495330574358274,0.8193359375,0.1806640625,38941,0,21,38.0,38.0283203125,60
Road,repeat,vertex_delete_30pct,10,[10],0.9817608162400756,0.9775390625,0.0224609375,49067,0,27,48.0,47.9169921875,73
Road,repeat,vertex_delete_50pct,10,[10],0.9211228482603726,0.9033203125,0.0966796875,35451,0,17,35.0,34.6201171875,52
Road,repeat,object_delete_30pct,10,[10],0.9976174711631861,0.9970703125,0.0029296875,49768,0,25,49.0,48.6015625,74
Road,repeat,object_delete_90pct,10,[10],0.8999327712386982,0.875,0.125,7747,0,1,7.0,7.5654296875,18
Road,repeat,vertex_add_50pct,10,[10],0.9355635236893614,0.9208984375,0.0791015625,103568,0,69,101.0,101.140625,138
Road,repeat,noise_50pct_1p4tau,10,[10],0.8283354955420351,0.7939453125,0.2060546875,69350,0,43,67.0,67.724609375,103
Road,repeat,compound,10,"[10, 10010, 20010, 30010]",0.8614838058314871,0.833984375,0.166015625,37657,0,20,36.0,36.7744140625,57
