dataset,profile,features,vertices,embed_seconds,extraction_seconds,fitness,iterations,mean_displacement_m,max_displacement_m,p95_displacement_m,mean_displacement_degrees,unclosed_rings,nc
Railways,full40,5621,52474,7.451611208030954,0.13166124996496364,0.9735340095807672,11.321828856075431,3.636232561858949e-07,0.0010140480672585985,1.1689887211360898e-06,3.680190312276135e-12,0,1.0
Building,full40,6385,43465,6.378866457962431,0.11266520799836144,0.9824342561730709,10.327799530148786,3.034806805737329e-08,6.893991210448156e-06,1.320045757487967e-07,3.178459445279847e-13,5949,0.9888585178963917
Landuse,full40,3464,43939,7.678946917003486,0.0983838330139406,0.9527088577993448,20.574769053117784,1.6664205462896e-07,5.10864988406063e-05,7.16333871843923e-07,1.7448181921334423e-12,3403,0.9992060340153568
Boundary,full40,482,123933,11.855617291003,0.1990077910013497,0.7188624812634786,37.486486486486484,4.95427050886334e-07,0.0016995676353937488,1.3822710375955086e-06,5.133106775913265e-12,0,1.0
Road,full40,919,69362,7.772028584033251,0.11644533299840987,0.8260844580071213,32.86763070077864,4.0629948833542365e-07,0.0004163076414355981,1.1137566758104213e-06,4.251360601423278e-12,0,1.0
Lake,full40,1470,65928,8.900986291992012,0.12060404196381569,0.8532205717329838,36.6,1.9258135071705293e-07,0.00027744886358984917,7.073613203230525e-07,1.883861062055225e-12,1496,1.0
