Tan_2024,Wu_2025,Zhang_2025,Lin_2018,Xi_2022,Proposed
0.79,1.0,0.97,0.67,0.99,1.0
0.98,1.0,1.0,0.54,0.61,0.9880556503830986
0.94,0.98,0.87,0.54,0.79,0.9992060340153568
0.95,1.0,0.8,0.54,1.0,1.0
0.97,1.0,0.86,0.54,1.0,1.0
0.89,1.0,0.7,0.54,0.9,1.0
