dataset,series,attack,seed,attack_seeds,nc,bit_accuracy,ber,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max
Railways,main,translation_60,0,[],1.0,1.0,0.0,52473,0,28,51.0,51.2431640625,141
Railways,repeat,vertex_delete_30pct,1,[1],1.0,1.0,0.0,40169,0,20,39.0,39.2275390625,99
Railways,repeat,vertex_delete_50pct,1,[1],0.9912770761713202,0.9892578125,0.0107421875,31904,0,14,31.0,31.15625,72
Railways,repeat,object_delete_30pct,1,[1],1.0,1.0,0.0,36994,0,20,36.0,36.126953125,95
Railways,repeat,object_delete_90pct,1,[1],0.963675909660472,0.955078125,0.044921875,5509,6,0,5.0,5.3798828125,24
Railways,repeat,vertex_add_50pct,1,[1],0.9928631194931944,0.9912109375,0.0087890625,75886,0,49,74.0,74.107421875,122
Railways,repeat,noise_50pct_1p4tau,1,[1],0.9156097387929552,0.896484375,0.103515625,52474,0,27,51.0,51.244140625,75
Railways,repeat,compound,1,"[1, 10001, 20001, 30001]",0.9385621324155872,0.9248046875,0.0751953125,30766,0,12,30.0,30.044921875,65
Railways,repeat,vertex_delete_30pct,2,[2],1.0,1.0,0.0,40091,0,21,39.0,39.1513671875,88
Railways,repeat,vertex_delete_50pct,2,[2],0.991236537806258,0.9892578125,0.0107421875,31813,0,14,31.0,31.0673828125,78
Railways,repeat,object_delete_30pct,2,[2],1.0,1.0,0.0,36488,0,16,35.0,35.6328125,100
Railways,repeat,object_delete_90pct,2,[2],0.9666148940775916,0.958984375,0.041015625,5148,6,0,5.0,5.02734375,17
Railways,repeat,vertex_add_50pct,2,[2],0.99045088265951,0.98828125,0.01171875,75870,0,48,74.0,74.091796875,120
Railways,repeat,noise_50pct_1p4tau,2,[2],0.9106962298799874,0.890625,0.109375,52474,0,30,51.0,51.244140625,76
Railways,repeat,compound,2,"[2, 10002, 20002, 30002]",0.939495210239728,0.92578125,0.07421875,30048,0,11,29.0,29.34375,53
Railways,repeat,vertex_delete_30pct,3,[3],0.9992072927806908,0.9990234375,0.0009765625,40135,0,20,39.0,39.1943359375,97
Railways,repeat,vertex_delete_50pct,3,[3],0.9928517826066742,0.9912109375,0.0087890625,31935,0,13,31.0,31.1865234375,64
Railways,repeat,object_delete_30pct,3,[3],1.0,1.0,0.0,36337,0,12,35.0,35.4853515625,106
Railways,repeat,object_delete_90pct,3,[3],0.9551891960328662,0.9443359375,0.0556640625,5926,7,0,6.0,5.787109375,22
Railways,repeat,vertex_add_50pct,3,[3],0.9864273676831125,0.9833984375,0.0166015625,75883,0,48,74.0,74.1044921875,126
Railways,repeat,noise_50pct_1p4tau,3,[3],0.918549103460882,0.900390625,0.099609375,52474,0,34,51.0,51.244140625,74
Railways,repeat,compound,3,"[3, 10003, 20003, 30003]",0.936305719340289,0.9208984375,0.0791015625,31278,0,14,30.0,30.544921875,54
Railways,repeat,vertex_delete_30pct,4,[4],0.9992060340153568,0.9990234375,0.0009765625,40065,0,17,39.0,39.1259765625,95
Railways,repeat,vertex_delete_50pct,4,[4],0.993662103599709,0.9921875,0.0078125,31894,0,13,31.0,31.146484375,75
Railways,repeat,object_delete_30pct,4,[4],1.0,1.0,0.0,38024,0,17,37.0,37.1328125,105
Railways,repeat,object_delete_90pct,4,[4],0.9583364421482958,0.9482421875,0.0517578125,5876,5,0,5.0,5.73828125,20
Railways,repeat,vertex_add_50pct,4,[4],0.9888585178963916,0.986328125,0.013671875,75780,0,49,74.0,74.00390625,135
Railways,repeat,noise_50pct_1p4tau,4,[4],0.9062240655933462,0.8857421875,0.1142578125,52474,0,30,51.0,51.244140625,83
Railways,repeat,compound,4,"[4, 10004, 20004, 30004]",0.950954128727916,0.939453125,0.060546875,30867,0,15,30.0,30.1435546875,55
Railways,repeat,vertex_delete_30pct,5,[5],1.0,1.0,0.0,40039,0,17,39.0,39.1005859375,95
Railways,repeat,vertex_delete_50pct,5,[5],0.9888888888888888,0.986328125,0.013671875,31752,0,15,31.0,31.0078125,66
Railways,repeat,object_delete_30pct,5,[5],1.0,1.0,0.0,35863,0,19,35.0,35.0224609375,102
Railways,repeat,object_delete_90pct,5,[5],0.9547980797682156,0.9443359375,0.0556640625,5206,9,0,5.0,5.083984375,13
Railways,repeat,vertex_add_50pct,5,[5],0.9825396825396824,0.978515625,0.021484375,75890,0,47,74.0,74.111328125,118
Railways,repeat,noise_50pct_1p4tau,5,[5],0.905448692297244,0.8857421875,0.1142578125,52474,0,28,51.0,51.244140625,83
Railways,repeat,compound,5,"[5, 10005, 20005, 30005]",0.9343380651964248,0.919921875,0.080078125,29866,0,14,29.0,29.166015625,52
Railways,repeat,vertex_delete_30pct,6,[6],1.0,1.0,0.0,39963,0,18,39.0,39.0263671875,103
Railways,repeat,vertex_delete_50pct,6,[6],0.988907739467653,0.986328125,0.013671875,31730,0,12,31.0,30.986328125,71
Railways,repeat,object_delete_30pct,6,[6],1.0,1.0,0.0,36872,0,18,36.0,36.0078125,94
Railways,repeat,object_delete_90pct,6,[6],0.9356635199285296,0.9208984375,0.0791015625,4858,15,0,5.0,4.744140625,14
Railways,repeat,vertex_add_50pct,6,[6],0.9824890588439188,0.978515625,0.021484375,75866,0,49,74.0,74.087890625,135
Railways,repeat,noise_50pct_1p4tau,6,[6],0.9017302014638916,0.880859375,0.119140625,52474,0,28,51.0,51.244140625,87
Railways,repeat,compound,6,"[6, 10006, 20006, 30006]",0.9405236898713486,0.9267578125,0.0732421875,30441,0,14,30.0,29.7275390625,50
Railways,repeat,vertex_delete_30pct,7,[7],1.0,1.0,0.0,40133,0,20,39.0,39.1923828125,87
Railways,repeat,vertex_delete_50pct,7,[7],0.9952380952380953,0.994140625,0.005859375,31961,0,13,31.0,31.2119140625,70
Railways,repeat,object_delete_30pct,7,[7],1.0,1.0,0.0,37236,0,15,36.0,36.36328125,106
Railways,repeat,object_delete_90pct,7,[7],0.9573567233676163,0.947265625,0.052734375,5385,9,0,5.0,5.2587890625,14
Railways,repeat,vertex_add_50pct,7,[7],0.988907739467653,0.986328125,0.013671875,75829,0,46,73.5,74.0517578125,122
Railways,repeat,noise_50pct_1p4tau,7,[7],0.900872606824496,0.8779296875,0.1220703125,52474,0,31,51.0,51.244140625,81
Railways,repeat,compound,7,"[7, 10007, 20007, 30007]",0.9371546181174044,0.9228515625,0.0771484375,30226,0,12,29.0,29.517578125,53
Railways,repeat,vertex_delete_30pct,8,[8],1.0,1.0,0.0,40060,0,21,39.0,39.12109375,96
Railways,repeat,vertex_delete_50pct,8,[8],0.9888888888888888,0.986328125,0.013671875,31878,0,12,31.0,31.130859375,67
Railways,repeat,object_delete_30pct,8,[8],1.0,1.0,0.0,37724,0,17,37.0,36.83984375,98
Railways,repeat,object_delete_90pct,8,[8],0.9408194102441676,0.9267578125,0.0732421875,4361,14,0,4.0,4.2587890625,12
Railways,repeat,vertex_add_50pct,8,[8],0.988847044703314,0.986328125,0.013671875,75767,0,48,74.0,73.9912109375,129
Railways,repeat,noise_50pct_1p4tau,8,[8],0.906498761178682,0.884765625,0.115234375,52474,0,31,51.0,51.244140625,82
Railways,repeat,compound,8,"[8, 10008, 20008, 30008]",0.9492063492063492,0.9375,0.0625,30206,0,13,30.0,29.498046875,49
Railways,repeat,vertex_delete_30pct,9,[9],1.0,1.0,0.0,40088,0,18,39.0,39.1484375,102
Railways,repeat,vertex_delete_50pct,9,[9],0.9936356121857464,0.9921875,0.0078125,31773,0,14,31.0,31.0283203125,81
Railways,repeat,object_delete_30pct,9,[9],1.0,1.0,0.0,35947,0,18,35.0,35.1044921875,109
Railways,repeat,object_delete_90pct,9,[9],0.9497277982495498,0.9375,0.0625,4803,12,0,5.0,4.6904296875,14
Railways,repeat,vertex_add_50pct,9,[9],0.9810175704015106,0.9765625,0.0234375,75940,0,46,74.0,74.16015625,115
Railways,repeat,noise_50pct_1p4tau,9,[9],0.9074391557113688,0.8876953125,0.1123046875,52474,0,29,51.0,51.244140625,78
Railways,repeat,compound,9,"[9, 10009, 20009, 30009]",0.9464673392689468,0.9345703125,0.0654296875,30194,0,12,29.0,29.486328125,52
Railways,repeat,vertex_delete_30pct,10,[10],1.0,1.0,0.0,40050,0,18,39.0,39.111328125,100
Railways,repeat,vertex_delete_50pct,10,[10],0.9928517826066742,0.9912109375,0.0087890625,31743,0,11,31.0,30.9990234375,74
Railways,repeat,object_delete_30pct,10,[10],1.0,1.0,0.0,36739,0,19,36.0,35.8779296875,88
Railways,repeat,object_delete_90pct,10,[10],0.9679101229723408,0.9599609375,0.0400390625,5638,4,0,5.0,5.505859375,13
Railways,repeat,vertex_add_50pct,10,[10],0.9873015873015872,0.984375,0.015625,75912,0,47,74.0,74.1328125,117
Railways,repeat,noise_50pct_1p4tau,10,[10],0.9027216569388318,0.880859375,0.119140625,52474,0,29,51.0,51.244140625,76
Railways,repeat,compound,10,"[10, 10010, 20010, 30010]",0.9407486179593506,0.927734375,0.072265625,30028,0,14,29.0,29.32421875,52
Building,main,no_attack,0,[],0.9888585178963916,0.986328125,0.013671875,41105,0,15,37.0,40.1416015625,234
Building,main,vertex_delete_30pct,1,[1],0.9752179657776224,0.9697265625,0.0302734375,32029,0,10,28.0,31.2783203125,232
Building,main,vertex_delete_50pct,1,[1],0.9298352049387612,0.9140625,0.0859375,26382,0,7,23.0,25.763671875,228
Building,main,object_delete_30pct,2025,[2025],0.989649288528878,0.9873046875,0.0126953125,29314,0,9,26.0,28.626953125,166
Building,main,object_delete_90pct,2025,[2025],0.937296507638125,0.923828125,0.076171875,4020,43,0,3.0,3.92578125,25
Building,main,vertex_add_10pct,233337,[233337],0.9872521301150828,0.984375,0.015625,44809,0,19,41.0,43.7587890625,237
Building,main,vertex_add_30pct,233337,[233337],0.976031233499216,0.970703125,0.029296875,52321,0,25,49.0,51.0947265625,241
Building,main,vertex_add_50pct,233337,[233337],0.954656656825879,0.9443359375,0.0556640625,59776,0,33,56.0,58.375,250
Building,main,noise_10pct_0p6tau,2024,[2024],0.9856572155268516,0.982421875,0.017578125,41581,0,13,38.0,40.6064453125,197
Building,main,noise_50pct_1p4tau,2024,[2024],0.8883674256447514,0.86328125,0.13671875,42872,0,23,41.0,41.8671875,103
