dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Railways,audited,vertex_add_10pct,2,0.9992060340153568,0.9990234375,0.0009765625,0.14267304196255282,57217,0,33,55.0,55.8759765625,132,0,embed_pca_key,0.1269185576106665,57217
Railways,audited,vertex_add_30pct,2,0.9968404344402447,0.99609375,0.00390625,0.14451304194517434,66549,0,43,65.0,64.9892578125,132,2,embed_pca_key,0.1299270371633993,66549
Railways,audited,vertex_add_50pct,2,0.9856572155268516,0.982421875,0.017578125,0.16833491600118577,75870,0,48,74.0,74.091796875,120,5,embed_pca_key,0.13588668761977366,75870
Railways,audited,noise_10pct_0p6tau_m,2,1.0,1.0,0.0,0.1216660410282202,52474,0,30,51.0,51.244140625,129,0,embed_pca_key,0.1254596515631333,52474
Railways,audited,noise_50pct_1p4tau_m,2,0.9044833199892947,0.8837890625,0.1162109375,0.1334260000148788,52474,0,24,51.0,51.244140625,77,40,embed_pca_key,0.1254605071655404,52474
Railways,audited,legacy_noise_50pct_1p4degrees,2,0.8982043835969449,0.8759765625,0.1240234375,0.1256165409577079,52474,0,30,51.0,51.244140625,76,37,embed_pca_key,0.016133815519105775,52474
Railways,audited,compound_metric,2,0.9262492999744816,0.9091796875,0.0908203125,0.08590045798337087,30048,0,15,29.0,29.34375,46,30,embed_pca_key,0.1157734401704392,30048
Railways,audited,vertex_delete_30pct,3,0.9992072927806908,0.9990234375,0.0009765625,0.11571216699667275,40135,0,20,39.0,39.1943359375,97,1,embed_pca_key,0.10881429259865028,40135
Railways,audited,vertex_delete_50pct,3,0.993662103599709,0.9921875,0.0078125,0.09514287498313934,31935,0,13,31.0,31.1865234375,64,7,embed_pca_key,0.08720254399250886,31935
Railways,audited,object_delete_30pct,3,1.0,1.0,0.0,0.10364058398408815,36337,0,12,35.0,35.4853515625,106,0,embed_pca_key,0.16163833459292365,36337
Railways,audited,object_delete_90pct,3,0.9418658131647025,0.927734375,0.072265625,0.018044999975245446,5926,7,0,6.0,5.787109375,22,68,embed_pca_key,0.2575187156421401,5926
Railways,audited,vertex_add_10pct,3,1.0,1.0,0.0,0.1479853330529295,57295,0,35,56.0,55.9521484375,142,0,embed_pca_key,0.12682408055418815,57295
Railways,audited,vertex_add_30pct,3,0.9984114366459335,0.998046875,0.001953125,0.14752116601448506,66489,0,40,65.0,64.9306640625,125,2,embed_pca_key,0.12977906185636728,66489
Railways,audited,vertex_add_50pct,3,0.9784669849842772,0.9736328125,0.0263671875,0.16830037499312311,75883,0,48,74.0,74.1044921875,126,7,embed_pca_key,0.13506079429763299,75883
Railways,audited,noise_10pct_0p6tau_m,3,1.0,1.0,0.0,0.12608266697498038,52474,0,30,51.0,51.244140625,130,0,embed_pca_key,0.12545981780496515,52474
Railways,audited,noise_50pct_1p4tau_m,3,0.891322066626327,0.869140625,0.130859375,0.13416170899290591,52474,0,27,51.0,51.244140625,73,26,embed_pca_key,0.12545811104706375,52474
Railways,audited,legacy_noise_50pct_1p4degrees,3,0.9011267423506005,0.87890625,0.12109375,0.1293656249763444,52474,0,34,51.0,51.244140625,74,24,embed_pca_key,0.010983174681951598,52474
