dataset,kind,seed,nc,bit_accuracy
Landuse,wrong_watermark,19,0.5083190239675872,0.451171875
Landuse,wrong_watermark,20,0.5592215684620545,0.5009765625
Boundary,unwatermarked_host,0,0.590190516601056,0.5322265625
Boundary,wrong_watermark,1,0.5664344279019518,0.5068359375
Boundary,wrong_watermark,2,0.5463066415885109,0.49609375
Boundary,wrong_watermark,3,0.5504271095885476,0.5068359375
Boundary,wrong_watermark,4,0.569185385880174,0.517578125
Boundary,wrong_watermark,5,0.5472168584244865,0.490234375
Boundary,wrong_watermark,6,0.5669705704052262,0.5078125
Boundary,wrong_watermark,7,0.5506902997528771,0.4990234375
Boundary,wrong_watermark,8,0.5666188998827841,0.5107421875
Boundary,wrong_watermark,9,0.5633282321195529,0.5107421875
Boundary,wrong_watermark,10,0.556525890161541,0.5009765625
Boundary,wrong_watermark,11,0.5439031206671544,0.4892578125
Boundary,wrong_watermark,12,0.5746591872168177,0.5146484375
Boundary,wrong_watermark,13,0.5628541841314731,0.515625
Boundary,wrong_watermark,14,0.563022797004437,0.498046875
Boundary,wrong_watermark,15,0.569674308059476,0.5126953125
Boundary,wrong_watermark,16,0.5473818384670106,0.4892578125
Boundary,wrong_watermark,17,0.5461594335554,0.48828125
Boundary,wrong_watermark,18,0.5421372014442091,0.4873046875
Boundary,wrong_watermark,19,0.5083190239675872,0.451171875
Boundary,wrong_watermark,20,0.5592215684620545,0.5009765625
Road,unwatermarked_host,0,0.5814170763034443,0.517578125
Road,wrong_watermark,1,0.5655374607075299,0.5048828125
Road,wrong_watermark,2,0.5472240361101757,0.49609375
Road,wrong_watermark,3,0.5513692049892992,0.5068359375
Road,wrong_watermark,4,0.5700489197918418,0.517578125
Road,wrong_watermark,5,0.5481014457011655,0.490234375
Road,wrong_watermark,6,0.5695349728920449,0.509765625
Road,wrong_watermark,7,0.5498182638934145,0.4970703125
Road,wrong_watermark,8,0.5674676950172348,0.5107421875
Road,wrong_watermark,9,0.5641993065192564,0.5107421875
Road,wrong_watermark,10,0.555644613456362,0.4990234375
Road,wrong_watermark,11,0.5430418325247843,0.4873046875
Road,wrong_watermark,12,0.5737491958506223,0.5126953125
Road,wrong_watermark,13,0.563752577089509,0.515625
Road,wrong_watermark,14,0.5621312322376286,0.49609375
Road,wrong_watermark,15,0.5705115749681091,0.5126953125
Road,wrong_watermark,16,0.5534610485249652,0.5380859375
Road,wrong_watermark,17,0.5487900504974101,0.490234375
Road,wrong_watermark,18,0.5430418325247843,0.4873046875
Road,wrong_watermark,19,0.5107861620030516,0.5
Road,wrong_watermark,20,0.5600753876211315,0.5009765625
Lake,unwatermarked_host,0,0.5815620002764792,0.5224609375
Lake,wrong_watermark,1,0.5668845149240225,0.5078125
Lake,wrong_watermark,2,0.5467407351346266,0.4970703125
Lake,wrong_watermark,3,0.5508644772456288,0.5078125
Lake,wrong_watermark,4,0.5678685977526479,0.5166015625
Lake,wrong_watermark,5,0.547651675226049,0.4912109375
Lake,wrong_watermark,6,0.5674210834444505,0.5087890625
Lake,wrong_watermark,7,0.5511278765400385,0.5
Lake,wrong_watermark,8,0.5670691334857129,0.51171875
Lake,wrong_watermark,9,0.5620085285513565,0.509765625
Lake,wrong_watermark,10,0.5552111067174049,0.5
Lake,wrong_watermark,11,0.5425679819662468,0.48828125
Lake,wrong_watermark,12,0.5733887351035523,0.513671875
Lake,wrong_watermark,13,0.5615074727161063,0.5146484375
Lake,wrong_watermark,14,0.561757497856939,0.4970703125
Lake,wrong_watermark,15,0.568383461928244,0.51171875
Lake,wrong_watermark,16,0.5460665729862421,0.48828125
Lake,wrong_watermark,17,0.5465934101304738,0.4892578125
Lake,wrong_watermark,18,0.5408006595494186,0.486328125
Lake,wrong_watermark,19,0.5093017664362285,0.5048828125
Lake,wrong_watermark,20,0.5596659241686083,0.501953125
