dataset,mode,features,vertices,embed_seconds,fitness,iterations,mean_displacement_m,max_displacement_m,p95_displacement_m,mean_displacement_degrees,unclosed_rings
Railways,audited,5621,52474,4.22706979198847,0.9496877690391464,5.697740615548835,3.257873481867535e-07,0.00019236885279232658,1.054408216235421e-06,3.29735627313795e-12,0
Building,audited,6385,43465,3.55783166695619,0.9649165270108159,4.403445575567737,2.638383212276248e-08,6.9089260745559894e-06,1.0064148820893577e-07,2.763206878909562e-13,0
Landuse,audited,3464,43939,3.7853724579908885,0.9188785567167668,8.351039260969976,1.4118762189912217e-07,1.5671769407308674e-05,6.055922746887183e-07,1.4782841772815609e-12,0
Boundary,audited,482,123933,8.361134041973855,0.6865289235279193,16.828638497652584,4.6974427557663866e-07,0.0016995676353937488,1.3443887620529113e-06,4.86575804297069e-12,0
Road,audited,919,69362,3.7140391250140965,0.794155536649692,13.837597330367075,3.8092235928404724e-07,0.0005340955625455373,1.0217065211051097e-06,3.985892292781923e-12,0
Lake,audited,1470,65928,4.1265299579827115,0.8144025437197466,14.638775510204082,1.6493280699146336e-07,4.050784824502813e-05,6.310991858289785e-07,1.6133683371125168e-12,0
